LGA,REGION,Total Persons,  Year 12 or equivalent,  Year 11 or equivalent,  Year 10 or equivalent,  Year 9 or equivalent,  Year 8 or below,  Did not go to school,  Not stated
  South Burnett,  South Burnett (R),21794,7346,1615,7505,1799,2473,101,956
  Southern Downs,  Southern Downs (R),24020,9231,1673,8141,1666,2313,105,889
  Sunshine Coast,  Sunshine Coast (R),198344,101222,17186,55899,9819,9178,461,4581
  Tablelands,  Tablelands (R),16914,7007,1276,5430,1061,1430,90,627
  Toowoomba,  Toowoomba (R),102456,48345,6753,30604,5434,8184,500,2642
  Torres,  Torres (S),1874,1027,140,371,68,129,10,130
  Torres Strait Island,  Torres Strait Island (R),2491,1173,273,490,113,320,21,98
  Townsville,  Townsville (C),115107,59816,9790,31121,5496,6080,473,2328
  Weipa,  Weipa (T),2305,1245,229,601,96,48,17,68
  Western Downs,  Western Downs (R),20652,8392,1492,6697,1287,2023,90,681
  Whitsunday,  Whitsunday (R),21846,9529,2145,6834,1308,1314,83,630
  Winton,  Winton (S),784,300,52,263,54,73,10,23
  Woorabinda,  Woorabinda (S),543,113,73,226,61,56,3,15
  Wujal Wujal,  Wujal Wujal (S),203,52,33,54,27,30,0,8
  Yarrabah,  Yarrabah (S),1498,395,254,519,174,104,12,33
  No usual address (,  No usual address (Qld),8581,3736,821,2546,699,493,67,228
  Migratory - Offshore - Shipp,  Migratory - Offshore - Shipping ,121,38,15,39,11,16,0,3
  Adelaide,  Adelaide (C),11371,8603,1119,874,211,212,58,296
  Adelaide Hills ,  Adelaide Hills (DC),25751,15601,4644,3483,805,746,53,423
  Alexandrina ,  Alexandrina (DC),18513,7562,4138,4042,1172,932,38,633
  Anangu Pitjantjatjara ,  Anangu Pitjantjatjara (AC),1354,308,223,310,141,168,59,147
  Barossa ,  Barossa (DC),16078,6890,3551,3133,979,1089,28,409
  Barunga West ,  Barunga West (DC),1875,574,458,428,157,196,0,64
  Berri and Barmera ,  Berri and Barmera (DC),7257,2532,1483,1552,565,737,75,310
  Burnside,  Burnside (C),28385,20909,3136,2430,551,769,113,482
  Campbelltown (C) ,  Campbelltown (C) (SA),33896,19104,5113,4240,1216,2877,531,813
  Ceduna ,  Ceduna (DC),2085,729,471,478,167,171,10,62
  Charles Sturt,  Charles Sturt (C),76446,40314,12513,10838,3369,6275,1251,1886
  Clare and Gilbert Valleys ,  Clare and Gilbert Valleys (DC),6255,2561,1501,1199,419,400,3,178
  Cleve ,  Cleve (DC),1184,456,297,215,54,117,6,35
  Coober Pedy ,  Coober Pedy (DC),1113,434,182,234,61,102,25,76
  Copper Coast ,  Copper Coast (DC),10079,2984,2285,2542,926,887,26,436
  Elliston ,  Elliston (DC),739,279,149,175,43,53,0,35
  Flinders Ranges ,  Flinders Ranges (DC),1170,374,285,275,79,108,11,44
  Franklin Harbour ,  Franklin Harbour (DC),899,280,192,235,64,88,0,35
  Gawler,  Gawler (T),15622,6321,3439,3265,1055,1027,59,458
  Goyder ,  Goyder (DC),2860,982,636,633,252,255,6,101
  Grant ,  Grant (DC),5170,1808,1345,1097,365,382,5,171
  Holdfast Bay,  Holdfast Bay (C),24750,14554,4018,3645,815,884,140,697
  Kangaroo Island ,  Kangaroo Island (DC),3295,1417,675,703,209,190,6,88
  Karoonda East Murray ,  Karoonda East Murray (DC),757,230,157,186,63,107,0,19
  Kimba ,  Kimba (DC),698,277,172,113,39,76,0,20
  Kingston (DC) ,  Kingston (DC) (SA),1684,556,364,400,151,154,3,53
  Light (R,  Light (RegC),9480,4053,2350,1916,494,446,22,204
  Lower Eyre Peninsula ,  Lower Eyre Peninsula (DC),3509,1418,907,704,206,170,10,93
  Loxton Waikerie ,  Loxton Waikerie (DC),8012,2599,1787,1815,619,822,35,332
  Mallala ,  Mallala (DC),5875,1991,1489,1462,419,360,26,126
  Maralinga Tjarutja ,  Maralinga Tjarutja (AC),18,9,5,3,0,0,0,4
  Marion,  Marion (C),59458,32729,10263,9081,2536,3033,436,1379
  Mid Murray ,  Mid Murray (DC),6144,1887,1389,1568,498,558,16,220
  Mitcham,  Mitcham (C),41788,27464,6236,4685,1143,1393,189,679
  Mount Barker ,  Mount Barker (DC),21513,11213,4380,3662,968,757,38,480
  Mount Gambier,  Mount Gambier (C),17512,6328,4109,3663,1269,1483,113,545
  Mount Remarkable ,  Mount Remarkable (DC),2078,669,527,446,173,193,4,68
  Murray Bridge ,  Murray Bridge (RC),14066,4836,2931,3211,1166,1377,100,441
  Naracoorte and Lucindale ,  Naracoorte and Lucindale (DC),5758,2180,1327,1158,382,361,144,201
  Northern Areas ,  Northern Areas (DC),3204,1183,736,685,221,246,7,121
  Norwood Payneham St Peters,  Norwood Payneham St Peters (C),23330,15518,2880,2167,569,1510,269,420
  Onkaparinga,  Onkaparinga (C),111512,51657,24273,22471,5782,4465,292,2577
  Orroroo/Carrieton ,  Orroroo/Carrieton (DC),633,216,151,133,44,70,5,19
  Peterborough ,  Peterborough (DC),1215,313,260,301,118,141,6,65
  Playford,  Playford (C),54665,20235,11875,12360,4156,3486,877,1671
  Port Adelaide Enfield,  Port Adelaide Enfield (C),79261,40745,12259,11817,4178,6137,1896,2231
  Port Augusta,  Port Augusta (C),8799,2765,2322,1910,638,692,57,418
  Port Lincoln,  Port Lincoln (C),9417,3591,2186,2030,581,709,21,293
  Port Pirie City and Dists,  Port Pirie City and Dists (M),12012,3739,2890,2658,966,1265,48,440
  Prospect,  Prospect (C),13359,8784,1793,1327,353,707,178,218
  Renmark Paringa ,  Renmark Paringa (DC),6534,2130,1401,1474,502,649,115,263
  Robe ,  Robe (DC),1004,427,236,209,56,48,0,21
  Roxby Downs,  Roxby Downs (M),2275,1125,558,449,75,27,3,31
  Salisbury,  Salisbury (C),89335,38503,17331,17057,5462,6295,2388,2309
  Southern Mallee ,  Southern Mallee (DC),1436,522,304,321,121,126,5,37
  Streaky Bay ,  Streaky Bay (DC),1412,549,315,320,69,108,4,44
  Tatiara ,  Tatiara (DC),4418,1683,1026,921,283,339,51,112
  Tea Tree Gully,  Tea Tree Gully (C),66836,33315,14135,12015,2969,2970,243,1184
  The Coorong ,  The Coorong (DC),3736,1172,827,872,339,369,7,146
  Tumby Bay ,  Tumby Bay (DC),1887,667,434,394,121,194,5,77
  Unley,  Unley (C),24577,17440,2807,2143,519,979,159,527
  Victor Harbor,  Victor Harbor (C),11079,4166,2402,2654,757,709,26,376
  Wakefield ,  Wakefield (DC),4589,1583,1062,1010,395,399,13,124
  Walkerville,  Walkerville (M),4969,3478,631,455,116,173,21,82
  Wattle Range ,  Wattle Range (DC),8013,2726,1919,1794,588,720,25,239
  West Torrens,  West Torrens (C),38196,22307,5714,4926,1343,2623,461,823
  Whyalla,  Whyalla (C),14373,5271,3616,2968,892,940,64,625
  Wudinna ,  Wudinna (DC),839,318,200,169,66,54,0,36
  Yankalilla ,  Yankalilla (DC),3813,1544,836,828,286,200,12,104
  Yorke Peninsula ,  Yorke Peninsula (DC),8355,2613,1920,1974,753,784,18,292
  Unincorporate,  Unincorporated SA,2366,842,516,497,181,213,15,101
  No usual address ,  No usual address (SA),1837,724,320,423,154,131,31,58
  Migratory - Offshore - Shipping ,  Migratory - Offshore - Shipping (SA),3,6,0,0,0,0,0,0
  Albany,  Albany (C),24617,10974,2809,7395,1391,1171,77,794
  Armadale,  Armadale (C),50244,25822,5729,13547,2284,1469,347,1057
  Ashburton,  Ashburton (S),8647,4381,1325,2315,283,111,42,186
  Augusta-Margaret River,  Augusta-Margaret River (S),9235,5328,976,2168,332,196,20,208
  Bassendean,  Bassendean (T),10121,5597,960,2285,442,491,76,264
  Bayswater,  Bayswater (C),43378,26748,3382,8068,1509,2178,533,954
  Belmont,  Belmont (C),25286,14648,2325,4961,1104,1230,343,675
  Beverley,  Beverley (S),1217,446,139,412,95,62,3,60
  Boddington,  Boddington (S),1211,487,157,415,72,44,0,29
  Boyup Brook,  Boyup Brook (S),1187,498,118,376,86,54,3,41
  Bridgetown-Greenbushes,  Bridgetown-Greenbushes (S),3246,1408,365,1061,178,125,8,103
  Brookton,  Brookton (S),661,260,69,212,52,44,3,35
  Broome,  Broome (S),9502,4907,1201,2264,398,339,55,332
  Broomehill-Tambellup,  Broomehill-Tambellup (S),701,308,80,200,45,45,3,16
  Bruce Rock,  Bruce Rock (S),645,270,65,197,44,45,0,18
  Bunbury,  Bunbury (C),21686,9041,2511,6981,1331,1140,106,580
  Busselton,  Busselton (C),24276,11557,2958,6946,1204,825,88,695
  Cambridge,  Cambridge (T),16640,13159,794,1791,323,294,40,241
  Canning,  Canning (C),55597,36354,4062,9503,1865,2017,565,1221
  Capel,  Capel (S),10450,5028,1324,3151,472,234,17,215
  Carnamah,  Carnamah (S),390,162,40,128,23,25,0,10
  Carnarvon,  Carnarvon (S),3441,1345,445,1016,236,249,32,120
  Chapman Valley,  Chapman Valley (S),852,384,112,269,43,27,4,14
  Chittering,  Chittering (S),3549,1440,501,1175,219,112,9,87
  Claremont,  Claremont (T),6250,5070,275,641,101,50,9,93
  Cockburn,  Cockburn (C),66887,37788,6561,15037,2741,2929,499,1326
  Collie,  Collie (S),5874,1720,1029,2123,464,337,11,195
  Coolgardie,  Coolgardie (S),2135,685,336,776,163,86,8,81
  Coorow,  Coorow (S),787,266,88,330,64,19,0,21
  Corrigin,  Corrigin (S),776,316,100,224,55,51,0,27
  Cottesloe,  Cottesloe (T),4929,4109,223,382,83,68,0,58
  Cranbrook,  Cranbrook (S),762,328,69,245,58,47,0,21
  Cuballing,  Cuballing (S),580,214,72,189,53,34,3,19
  Cue,  Cue (S),111,45,9,38,7,9,0,3
  Cunderdin,  Cunderdin (S),886,416,81,267,52,52,0,17
  Dalwallinu,  Dalwallinu (S),956,490,92,243,36,65,0,30
  Dandaragan,  Dandaragan (S),2333,901,292,756,171,137,0,66
  Dardanup,  Dardanup (S),9182,3714,1210,3096,510,341,21,287
  Denmark,  Denmark (S),3910,2123,366,1054,165,105,7,85
  Derby-West Kimberley,  Derby-West Kimberley (S),4548,1628,647,1263,329,282,156,250
  Donnybrook-Balingup,  Donnybrook-Balingup (S),3989,1610,439,1374,229,170,22,155
  Dowerin,  Dowerin (S),465,192,62,156,26,18,0,12
  Dumbleyung,  Dumbleyung (S),463,249,53,109,23,21,0,13
  Dundas,  Dundas (S),515,157,70,186,42,35,3,29
  East Fremantle,  East Fremantle (T),4736,3499,302,626,109,138,10,54
  East Pilbara,  East Pilbara (S),6563,3025,1020,1822,254,188,59,193
  Esperance,  Esperance (S),8939,3765,1239,2650,540,405,23,316
  Exmouth,  Exmouth (S),1786,861,230,510,97,49,3,34
  Fremantle,  Fremantle (C),19265,12542,1402,3119,662,1026,148,373
  Gingin,  Gingin (S),3629,1377,405,1263,256,177,31,127
  Gnowangerup,  Gnowangerup (S),812,371,83,252,43,30,5,31
  Goomalling,  Goomalling (S),696,288,67,210,52,46,0,29
  Gosnells,  Gosnells (C),74008,39355,7533,17809,3484,3229,1088,1512
  Greater Geraldton,  Greater Geraldton (C),24567,10115,3485,7366,1462,1342,125,666
  Halls Creek,  Halls Creek (S),1719,464,217,471,164,206,72,120
  Harvey,  Harvey (S),16884,6974,2285,5625,907,673,63,353
  Irwin,  Irwin (S),2510,862,330,882,189,143,8,85
  Jerramungup,  Jerramungup (S),727,372,81,196,45,23,4,8
  Joondalup,  Joondalup (C),102019,62834,10193,21982,3097,2066,242,1603
  Kalamunda,  Kalamunda (S),37874,19904,4373,9881,1692,1202,181,632
  Kalgoorlie/Boulder,  Kalgoorlie/Boulder (C),18258,8264,2542,5390,942,604,75,441
  Karratha,  Karratha (C),12400,6513,1783,3054,466,247,36,304
  Katanning,  Katanning (S),2618,941,299,692,178,215,146,140
  Kellerberrin,  Kellerberrin (S),822,275,92,281,60,78,6,34
  Kent,  Kent (S),352,178,34,97,22,9,0,7
  Kojonup,  Kojonup (S),1328,649,126,385,80,58,0,37
  Kondinin,  Kondinin (S),601,265,72,179,36,33,6,13
  Koorda,  Koorda (S),302,127,35,93,17,25,0,11
  Kulin,  Kulin (S),545,286,45,138,36,27,3,10
  Kwinana,  Kwinana (C),23392,11638,2827,6292,1179,773,114,571
  Lake Grace,  Lake Grace (S),843,408,86,246,47,33,3,22
  Laverton,  Laverton (S),770,302,117,213,70,45,3,12
  Leonora,  Leonora (S),815,380,120,213,53,29,9,20
  Mandurah,  Mandurah (C),55158,23054,6923,17213,3653,2492,154,1667
  Manjimup,  Manjimup (S),6222,2467,787,1931,431,344,51,209
  Meekatharra,  Meekatharra (S),640,246,71,211,36,38,0,38
  Melville,  Melville (C),64118,43399,4520,10930,1940,1843,267,1220
  Menzies,  Menzies (S),350,125,44,98,25,22,12,13
  Merredin,  Merredin (S),2195,904,282,657,143,123,19,64
  Mingenew,  Mingenew (S),312,133,33,84,24,19,0,10
  Moora,  Moora (S),1581,692,218,438,93,86,4,50
  Morawa,  Morawa (S),462,208,47,121,30,22,0,25
  Mosman Park,  Mosman Park (T),5331,4234,272,558,97,60,17,92
  Mount Magnet,  Mount Magnet (S),283,94,25,88,31,14,3,18
  Mount Marshall,  Mount Marshall (S),357,183,29,88,25,18,3,13
  Mukinbudin,  Mukinbudin (S),389,145,44,136,22,21,0,14
  Mundaring,  Mundaring (S),24530,12665,2714,6715,1121,748,66,505
  Murchison,  Murchison (S),80,29,7,25,7,10,0,3
  Murray,  Murray (S),11199,3934,1539,3978,860,573,31,280
  Nannup,  Nannup (S),972,425,97,322,58,29,3,38
  Narembeen,  Narembeen (S),584,254,68,173,28,29,4,25
  Narrogin,  Narrogin (S),3204,1331,372,930,233,192,6,142
  Nedlands,  Nedlands (C),12870,10734,487,1140,160,149,25,173
  Ngaanyatjarraku,  Ngaanyatjarraku (S),867,141,58,136,113,280,8,115
  Northam,  Northam (S),7007,2599,824,2346,521,362,33,328
  Northampton,  Northampton (S),2320,855,270,819,164,128,5,85
  Nungarin,  Nungarin (S),173,68,23,68,15,7,0,3
  Peppermint Grove,  Peppermint Grove (S),922,789,40,73,12,5,0,5
  Perenjori,  Perenjori (S),438,196,63,127,27,11,4,14
  Perth,  Perth (C),13103,10436,714,1253,224,185,63,227
  Pingelly,  Pingelly (S),793,255,94,278,64,58,0,44
  Plantagenet,  Plantagenet (S),3447,1466,382,1054,209,172,35,120
  Port Hedland,  Port Hedland (T),8257,4062,1182,2123,355,211,72,256
  Quairading,  Quairading (S),706,248,72,259,46,51,0,23
  Ravensthorpe,  Ravensthorpe (S),1189,517,144,367,71,65,6,29
  Rockingham,  Rockingham (C),78400,37051,10589,22681,3725,2314,199,1845
  Sandstone,  Sandstone (S),70,16,8,29,8,3,0,0
  Serpentine-Jarrahdale,  Serpentine-Jarrahdale (S),16731,7744,2233,5202,798,452,47,257
  Shark Bay,  Shark Bay (S),671,263,91,213,53,20,0,21
  South Perth,  South Perth (C),26613,19252,1669,3682,669,574,114,648
  Stirling,  Stirling (C),137467,88927,10359,22938,4519,6286,1582,2861
  Subiaco,  Subiaco (C),11703,9521,538,1053,169,180,27,211
  Swan,  Swan (C),83595,43430,9536,21258,3587,3209,797,1776
  Tammin,  Tammin (S),238,120,19,72,17,18,0,3
  Three Springs,  Three Springs (S),390,174,44,104,29,20,0,21
  Toodyay,  Toodyay (S),3146,1274,370,1071,187,157,11,88
  Trayning,  Trayning (S),239,79,29,73,24,23,0,9
  Upper Gascoyne,  Upper Gascoyne (S),147,39,30,58,11,7,0,11
  Victoria Park,  Victoria Park (T),21880,14723,1537,3298,633,748,191,759
  Victoria Plains,  Victoria Plains (S),626,279,83,190,34,32,0,16
  Vincent,  Vincent (C),22191,16514,1294,2385,386,889,209,516
  Wagin,  Wagin (S),1263,468,143,422,97,80,6,53
  Wandering,  Wandering (S),305,130,32,107,9,9,0,17
  Wanneroo,  Wanneroo (C),115647,64221,13071,26674,4485,3591,1271,2334
  Waroona,  Waroona (S),2723,895,375,965,213,173,22,84
  West Arthur,  West Arthur (S),570,254,65,176,34,36,3,15
  Westonia,  Westonia (S),206,97,33,54,11,8,0,4
  Wickepin,  Wickepin (S),492,216,55,140,41,25,0,20
  Williams,  Williams (S),674,345,76,163,36,35,0,16
  Wiluna,  Wiluna (S),497,203,68,127,33,45,7,6
  Wongan-Ballidu,  Wongan-Ballidu (S),944,405,111,301,54,47,0,27
  Woodanilling,  Woodanilling (S),285,144,30,76,18,9,0,3
  Wyalkatchem,  Wyalkatchem (S),360,140,33,96,33,33,3,19
  Wyndham-East Kimberley,  Wyndham-East Kimberley (S),4307,1940,511,1148,262,220,100,124
  Yalgoo,  Yalgoo (S),223,103,31,66,5,7,8,0
  Yilgarn,  Yilgarn (S),840,306,106,288,65,61,0,17
  York,  York (S),2471,1040,266,782,136,136,0,108
  No usual address ,  No usual address (WA),3759,1695,466,1091,253,139,32,93
  Migratory - Offshore - Shipping ,  Migratory - Offshore - Shipping (WA),341,199,38,81,13,8,0,0
  Break O'Day,  Break O'Day (M),4452,1386,399,1623,556,296,16,174
  Brighton,  Brighton (M),10369,3140,1051,4166,1063,499,38,408
  Burnie,  Burnie (C),12559,3789,1198,4929,1297,785,71,489
  Central Coast (M) (T,  Central Coast (M) (Tas.),14845,4253,1325,6078,1670,987,31,500
  Central Highlands (M) (T,  Central Highlands (M) (Tas.),1547,456,121,599,189,112,3,69
  Circular Head,  Circular Head (M),5246,1272,532,2275,645,327,16,185
  Clarence,  Clarence (C),36986,17039,3326,11657,2463,1458,107,935
  Derwent Valley,  Derwent Valley (M),6810,1869,653,2788,714,435,49,297
  Devonport,  Devonport (C),16735,5032,1466,6831,1748,1014,55,585
  Dorset,  Dorset (M),4599,1155,331,2055,547,315,12,183
  Flinders (M) (T,  Flinders (M) (Tas.),674,261,64,227,63,34,3,24
  George Town,  George Town (M),4537,1270,392,1876,481,296,11,214
  Glamorgan/Spring Bay,  Glamorgan/Spring Bay (M),3330,1084,266,1217,394,174,16,178
  Glenorchy,  Glenorchy (C),30347,11253,2700,10502,2707,1930,267,985
  Hobart,  Hobart (C),31604,22198,1799,5076,958,906,150,525
  Huon Valley,  Huon Valley (M),11016,4508,1043,3672,886,520,30,356
  Kentish,  Kentish (M),4237,1270,395,1691,454,272,19,132
  King Island,  King Island (M),1155,413,126,434,73,63,0,44
  Kingborough,  Kingborough (M),23492,13043,1899,6212,1159,651,33,491
  Latrobe (M) (T,  Latrobe (M) (Tas.),7547,2106,682,3277,821,395,14,247
  Launceston,  Launceston (C),41841,16819,3555,14250,3324,2365,375,1148
  Meander Valley,  Meander Valley (M),13253,4539,1150,5137,1256,754,32,380
  Northern Midlands,  Northern Midlands (M),8786,2679,783,3512,898,516,35,354
  Sorell,  Sorell (M),9794,3453,965,3779,858,426,23,297
  Southern Midlands,  Southern Midlands (M),4086,1137,393,1638,480,248,4,179
  Tasman,  Tasman (M),1683,603,112,600,209,100,0,56
  Waratah/Wynyard,  Waratah/Wynyard (M),9409,2659,878,3793,1050,647,37,341
  West Coast,  West Coast (M),2868,738,298,1241,292,166,7,122
  West Tamar,  West Tamar (M),15273,6141,1337,5413,1218,617,49,499
  No usual address (T,  No usual address (Tas.),595,252,51,193,46,29,3,24
  Migratory - Offshore - Shipping (T,  Migratory - Offshore - Shipping (Tas.),60,26,10,22,0,0,0,0
  Alice Springs,  Alice Springs (T),14609,7878,1992,2726,674,789,175,367
  Barkly,  Barkly (R),3959,1007,417,869,405,805,252,201
  Belyuen,  Belyuen (S),126,12,10,48,16,38,0,0
  Central Desert,  Central Desert (R),2210,368,183,385,248,797,151,81
  Coomalie,  Coomalie (S),751,248,105,215,70,56,6,42
  Darwin,  Darwin (C),47986,30019,5400,7548,1581,1969,436,1039
  East Arnhem,  East Arnhem (R),5082,1344,662,1009,607,965,116,381
  Katherine,  Katherine (T),5192,2342,677,1247,348,312,90,173
  Litchfield,  Litchfield (M),13690,6023,2245,3804,671,511,74,362
  MacDonnell,  MacDonnell (R),3025,605,272,515,446,811,178,200
  Palmerston,  Palmerston (C),19529,10276,2973,4376,832,550,117,398
  Roper Gulf,  Roper Gulf (R),3751,753,580,905,523,582,156,253
  Tiwi Islands,  Tiwi Islands (R),1614,377,388,585,102,108,13,40
  Victoria Daly,  Victoria Daly (R),1530,361,176,399,187,200,124,84
  Wagait,  Wagait (S),327,165,41,87,19,10,0,8
  West Arnhem,  West Arnhem (R),3546,1025,549,776,366,422,143,258
  West Daly,  West Daly (R),1665,333,166,524,229,311,44,71
  Unincorporate,  Unincorporated NT,4009,2193,462,899,190,138,29,98
  No usual address ,  No usual address (NT),1432,598,157,383,124,101,16,51
  Migratory - Offshore - Shipping ,  Migratory - Offshore - Shipping (NT),53,40,6,3,8,0,0,0
  Unincorporated,  Unincorporated ACT,243881,180660,10463,34980,6766,6354,1286,3370
  No usual address (,  No usual address (ACT),326,193,18,74,18,12,3,8
  Migratory - Offshore - Shipping (,  Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0,0
  Unincorp. Other Territo,  Unincorp. Other Territories,2781,1334,205,679,125,180,139,115
  No usual address ,  No usual address (OT),40,19,3,11,3,0,0,0
  Migratory - Offshore - Shipping ,  Migratory - Offshore - Shipping (OT),6,0,0,3,3,0,0,0